"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 12 16:30:59 GMT 2021","Mon Jul 12 16:31:01 GMT 2021","1625","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Jul 12 16:30:56 GMT 2021","Mon Jul 12 16:30:58 GMT 2021","1921","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
