"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 19 11:52:57 GMT 2021","Sat Jun 19 11:52:57 GMT 2021","730","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sat Jun 19 11:52:55 GMT 2021","Sat Jun 19 11:52:56 GMT 2021","802","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
