"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 05 08:44:03 GMT 2021","Sat Jun 05 08:44:04 GMT 2021","1764","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Sat Jun 05 08:44:00 GMT 2021","Sat Jun 05 08:44:02 GMT 2021","1905","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
