"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 12 15:24:18 GMT 2021","Mon Jul 12 15:24:18 GMT 2021","750","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Mon Jul 12 15:24:15 GMT 2021","Mon Jul 12 15:24:16 GMT 2021","791","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
